127.0.0.1 - - [27/Jan/2024:18:25:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:25:21 +0900] "GET /tomatofarm/index.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:25:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:25:36 +0900] "GET /tomatofarm/index.jsp HTTP/1.1" 500 2845
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:25:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /tomatofarm/ HTTP/1.1" 200 12480
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /tomatofarm/main.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/logo.png HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /tomatofarm/css/nav.css HTTP/1.1" 200 6268
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /tomatofarm/css/itemList.css HTTP/1.1" 200 2688
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_vitamin.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_chicken.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_etc.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_wheat.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_pig.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_noodle.png HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_flour.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_blush.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_detergent.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_fish.png HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_vegetable.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_sheep.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_seashel.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_cow.png HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_cheese.png HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_oils.png HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_drink.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_gimbap.png HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_bread.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_cookedFood.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_seasoning.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_fruit.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_meat.png HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_seaweed.png HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/itemImg/5000035_1.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/itemImg/5000038_1.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/itemImg/5000033_1.jpeg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/itemImg/5000004_1.jpeg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/itemImg/5000033_1.jpeg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/itemImg/5000038_1.jpg HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/category_wheat.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/itemImg/5000004_1.jpeg HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [27/Jan/2024:18:26:23 +0900] "GET /img/itemImg/5000035_1.jpg HTTP/1.1" 404 840
